"filename", "language", "Markdown", "C++", "comment", "blank", "total"
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_run.cpp", "C++", 0, 159, 20, 45, 224
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\sntp\sntp_utilities.cpp", "C++", 0, 30, 1, 5, 36
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_.cpp", "C++", 0, 122, 26, 36, 184
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_diagnostic.cpp", "C++", 0, 9, 1, 2, 12
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_events.cpp", "C++", 0, 94, 13, 17, 124
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_logging.cpp", "C++", 0, 57, 1, 12, 70
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_nvs.cpp", "C++", 0, 209, 7, 31, 247
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_run.cpp", "C++", 0, 989, 98, 202, 1289
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\components\wifi_5.2\src\wifi\wifi_utilities.cpp", "C++", 0, 30, 1, 4, 35
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_abstractions.md", "Markdown", 4, 0, 0, 2, 6
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_blocks.md", "Markdown", 39, 0, 0, 20, 59
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_flowcharts.md", "Markdown", 0, 0, 0, 1, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_sequences.md", "Markdown", 6, 0, 0, 4, 10
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\docs\project_state_models.md", "Markdown", 3, 0, 0, 2, 5
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\git_notes.md", "Markdown", 5, 0, 0, 2, 7
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_abstractions.md", "Markdown", 25, 0, 0, 11, 36
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_blocks.md", "Markdown", 1, 0, 0, 0, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_flowcharts.md", "Markdown", 1, 0, 0, 0, 1
"c:\Users\Keith\Desktop\IDF5.2_Projects\sample_project_5.2\main\docs\system_sequences.md", "Markdown", 1, 0, 0, 1, 2
